REFCODE;GFN2;PM7;PM6
BISMAR;0.2926;0.6763;0.5503
BISQAV;0.1164;0.3908;0.2356
BISQEZ;0.5084;0.8435;0.4261
BISQID;0.4117;1.5376;0.5181
BITPFE;0.1963;0.5642;0.6077
BIWKEX11;0.1255;0.2877;0.2596
BIXBAL;0.1441;0.2625;1.194
BIXBAL10;0.1441;0.2625;1.194
BIXDES;0.7063;0.5704;0.7988
BIXDIW;0.3567;0.479;0.6806
BIXDOC;0.4696;0.793;1.1276
BIYJOK;0.6354;0.6879;0.6817
BIYJUQ;0.5901;0.6223;0.5596
BIYROR;0.4706;0.4111;1.4237
BIYRUX;0.5108;0.3591;1.6721
BIYWOV;0.1921;0.3589;0.1567
BIYXIQ;0.8391;0.8437;0.5313
BIZJAW;0.4225;0.8286;1.1954
BMBUFE;0.2354;0.3501;0.3526
BNOCFE;0.1983;1.085;0.4901
BOBXIB;0.3438;0.6828;0.7971
BOBXOH;0.2981;0.3695;0.7412
BODWOG;0.2803;0.4495;0.6039
BOFQIW;0.7134;1.811;2.5397
BOFTEW;0.1061;0.3347;0.964
BOFZIF;0.3654;0.3292;0.9803
BOFZUR;0.3801;1.0354;0.8298
BOGBAA;0.4173;1.2633;0.8632
BOGLAM;0.1294;0.2123;0.913
BOGPEU;0.0812;0.2122;0.3662
BOHQOG;0.362;0.502;1.0387
BOHTAU;0.3531;0.3629;0.2526
BOJBUZ;0.9112;1.1607;1.7442
BOJCAG;0.4821;1.7188;1.1047
BOJFIR;3.0145;0.3302;1.4541
BOJLUI;1.1417;0.1979;0.9923
BOJLUI01;1.1874;0.4075;1.0443
BOJMAP;1.0158;0.9689;0.5453
BOJMAP01;1.0307;0.9835;0.558
BOJMET;1.7965;0.1519;1.2202
BOJMET01;1.8069;0.1592;1.2558
BOJREZ;0.9629;0.4487;1.1764
BOKKUH;0.5207;0.5516;0.5366
BOLGUE;0.1858;0.3727;0.3132
BONGOB;0.1098;0.1246;0.1564
BONGUH;0.1161;0.1341;0.3372
BONNOH;0.1178;0.1939;0.188
BONRIH;0.2989;1.7271;0.553
BOPLUP;0.2321;0.3878;0.7484
BOQLOJ;1.5572;1.5383;1.2508
BORJAV;0.5956;0.9281;0.6239
BORJOJ;0.2668;0.64;2.1366
BORKEA;0.1615;0.3651;1.2013
BORKIE;0.1595;0.3118;0.9857
BORKUQ;0.5863;0.581;1.3934
BOSMOL10;0.4752;0.4425;0.4656
BOSPEF;0.5821;0.9585;0.3374
BOSQEG;0.4725;0.4105;0.7438
BOTHIB;0.6727;0.44;0.6731
BOTSUY;0.1952;0.417;0.8109
BOVKAA;0.2295;0.1894;1.7734
BOVKEE;0.4849;0.3531;1.5499
BOVMEF;0.8684;1.1896;0.8696
BOWNIL;0.4298;0.4191;0.5721
BOWYUJ;0.129;0.0095;0.385
BOXLOQ;0.4697;1.3771;1.0074
BOXVAL;0.4501;0.6256;1.401
BOYDOI;0.5208;0.4759;1.7056
BOYGUT;0.6168;0.3359;1.0857
BOYJUW;0.1301;0.2143;1.0836
BOYKAD;0.2907;0.2707;0.7553
BOZLOS;0.3344;0.1519;0.2608
BOZLUY;0.1962;0.345;0.4652
BOZMAF;0.2964;0.3345;0.5429
BPNCDI01;0.2135;0.4289;0.3683
BTNFEC01;0.2604;0.5309;0.7719
BUBQUL;0.3082;0.2172;0.3267
BUCCOS;0.6335;0.6165;1.7822
BUCDEJ;0.512;1.1484;0.6102
BUCDOS;0.2846;0.6504;0.7532
BUDCEJ;0.5282;0.7078;1.3937
BUFECO01;0.122;0.2418;0.2793
BUGBAG;0.3909;0.4523;1.4191
BUGPAV;0.4332;0.7689;1.1762
BUHBEN;0.685;1.2808;0.9288
BUJQUU;0.1801;0.4679;1.1977
BUJVEH;0.3881;0.8899;1.1294
BUKHAR;0.0916;0.1623;0.1383
BUKRAB;0.2245;0.1201;0.2209
BUKVEJ;0.2599;0.2915;0.6339
BULFEU;0.3746;0.7837;0.7225
BULFIY;0.7187;0.6391;1.1759
BULQAB;0.4356;0.8311;0.3748
BULQEF;0.9546;1.2892;1.46
BULQIJ;0.3237;0.3679;0.4509
BULQOP;0.3236;0.4385;0.415
BUNTEL;0.2416;0.3406;0.4828
BUNYIS;1.4959;0.7513;1.1395
BUPNEG;0.4275;1.0877;0.6298
BUPNIK;0.2591;1.1224;0.7026
BUSFIG;0.5303;0.7722;1.0225
BUSVOC;0.7763;1.218;1.3195
BUSWAP;1.1038;1.6317;0.8814
BUTDFE01;0.246;0.2931;0.5819
BUTMIM;0.4136;0.913;0.6166
BUTVER;0.3503;0.2333;0.7746
BUVNOW;0.4172;0.7215;0.6828
BUVRAL;0.1872;0.2484;0.32
BUWCEC;0.2238;0.1772;0.2025
BUWDAY;1.2804;1.3483;0.8058
BUXHEH;0.1976;0.1669;0.2138
BUXHIL;0.2719;0.221;0.4985
BUXTUK;0.1108;0.1483;0.2425
BUYBEC;0.4976;0.5037;0.7091
BUYBIG;0.2342;0.2783;0.2915
BUZFIM;0.132;0.6393;0.3278
BUZQAO;0.1177;0.4378;1.3193
BUZQES;0.5442;0.8942;1.2253
BZBFEA10;0.3457;0.4566;0.8178
CABXIO;0.2714;0.1434;0.7868
CABYAH;0.2706;0.3728;1.0035
CACMFE;0.9062;1.1636;1.2785
CADYOX;0.2906;0.7341;0.4801
CAFDAO10;0.1799;0.368;0.9658
CAGKEA;0.1914;0.1286;0.944
CAGROU;0.0829;0.1271;0.4236
CAGSIO;0.3925;1.4399;1.297
CAHXUE;0.4081;0.1994;0.5631
CAJREK;0.3755;0.4052;0.8914
CAJRIO;1.2664;0.8034;2.3833
CAKHIH;0.2703;1.7129;0.915
CAKHON;0.2662;0.459;0.3323
CAKJIK;0.4935;0.185;0.3661
CAKJUU;0.0739;0.1001;0.1062
CAKKAB;0.0688;0.1001;0.1121
CALCID;0.5647;0.6361;0.4992
CALDFE10;0.1081;0.4622;0.4988
CAMKOS;0.3489;0.6428;1.7933
CAMKUY;0.5814;0.7369;0.1952
CAMTAL;0.1928;0.4154;0.3028
CANTOC;0.3236;0.2788;1.3058
CAPJAF;0.3527;0.4965;0.3205
CAPJEJ;0.2584;0.4293;0.4543
CARDOQ;0.2163;0.1617;0.1844
CARFEI;0.1805;0.1148;0.1335
CARGAF;0.4363;0.22;0.2335
CARNAN;0.3858;0.6166;1.4221
CARNER;0.5868;0.8611;0.4573
CARNIV;0.4719;0.7192;1.4045
CARQAN;0.4097;0.3905;0.227
CARQUH;0.3044;0.3006;1.8193
CASCUV;0.1917;0.3153;1.519
CASGUZ01;0.5595;0.7117;2.0403
CASKEN;0.2449;0.2487;0.171
CATGEJ;0.1748;0.3377;0.2333
CATGIN;0.1607;0.7404;1.0008
CATTOI;0.4293;0.2668;0.3029
CATTUO;0.4039;0.5786;0.3288
CATVAW;0.2021;0.864;0.398
CATVEA;0.2224;0.355;0.2493
CATWIG;0.6111;0.5959;0.5292
CATZUT;0.1241;0.5598;1.6094
CAWMAP;0.1861;0.1069;0.4362
CAWMET;0.1133;0.1483;0.4275
CAWSUP;0.407;0.5346;1.4672
CAWTAV;0.6252;0.4368;0.9973
CAWTAW;0.7287;0.7947;1.7095
CAWZAC;0.2359;0.819;0.3794
CAXVUT;0.118;0.2169;1.0293
CAXWAA;0.2208;0.1667;1.0041
CAYPUQ;0.7824;0.4796;0.8313
CAYQOI;0.0528;0.0722;0.2918
CAYSEA;0.2072;0.4387;0.9152
CAYYAC;0.1535;0.2532;1.0598
CAZBAJ;0.4041;0.4553;1.4503
CAZBUD;0.482;0.7766;1.6583
CAZFEQ;0.5306;0.4091;0.5832
CAZKIA;0.3573;0.376;1.2257
CAZLAT;0.1869;0.3556;0.7305
CAZYAD;0.0844;0.1227;0.1797
CAZYAD10;0.0844;0.1227;0.1797
CAZZAF;0.207;0.38;0.58
CAZZEJ;0.6983;0.637;0.9407
CBFMOP;0.1503;0.5283;0.7774
CBPEFE10;0.4219;0.8841;0.7552
CDAZFC;0.1136;0.4748;0.3296
CDPFEC10;0.3175;0.4017;0.9809
CEBHUN;0.5709;0.744;0.7252
CEBJIE;0.2767;0.8437;0.4007
CEBXEM10;0.2671;0.4425;0.7246
CEBXFE;0.3423;0.5365;0.3148
CECKIG;0.516;0.6275;0.784
CECKUS01;0.187;0.134;0.5081
CECLAZ;0.1982;0.21;0.296
CECLED;0.2039;0.2758;0.3653
CECLIH;0.9538;0.1888;0.7245
CECVUD;0.536;0.4929;1.0199
